CandidateNumber,OwnerPath,XsdLine,MatchedKeywords,Status,RuleId,Reason,SourceText
1,ArgumentArrayArgumentRefEntryType/DimensionList,244,must,SEMANTIC,XTCE-1.2-R05-dim-subset-lt-type,"Cross-field constraint (subset dimension < type's dimension), not XSD-checkable across separate type definitions.",The dimension here if used for subsetting must be less than the ones in the type.  It's not a subset if its the same size.
2,ArgumentArrayParameterRefEntryType/DimensionList,265,must,SEMANTIC,XTCE-1.2-R05-dim-subset-lt-type,"Same rule, different owner type (Argument vs Parameter array ref).",The dimension here if used for subsetting must be less than the ones in the type.  It's not a subset if its the same size.
3,ArgumentFixedValueEntryType/binaryValue,309,should,SEMANTIC,XTCE-1.2-R22-fixedvalue-bitlength-sufficient,"Blind re-triage catch: binaryValue ""should have sufficient bit length to accommodate the size in bits"" is a statically checkable cross-field constraint.","The fixed/constant value that should be encoded into the sequence.  This value provided should have sufficient bit length to accomodate the size in bits.  If the value is larger, the most significant unnecessary bits are dropped.  The value provided should be in network byte order for encoding."
4,ArgumentFixedValueEntryType/sizeInBits,314,should,NON_NORMATIVE,,Purely descriptive.,The number of bits that this fixed/constant value should occupy in the sequence.
5,ArrayParameterRefEntryType,369,shall,SEMANTIC,XTCE-1.2-R02-array-dim-count-match-type,"SHALL: dimension count must match the referenced ParameterType's dimension count — cross-reference constraint, not XSD-checkable.","Describe an entry that is an array parameter. Specify the dimension sizes if you subsetting the array (the number of dimensions shall match the number defined in the parameter’s type definition), otherwise the ones in the ParameterType are assumed.  See SequenceEntryType."
6,ArrayParameterRefEntryType/DimensionList,379,must,SEMANTIC,XTCE-1.2-R05-dim-subset-lt-type,"Same rule as #1, different owner (ArrayParameterRefEntryType).",The dimension here if used for subsetting must be less than the ones in the type.  It's not a subset if its the same size.
7,BaseAlarmType,389,may not,NON_NORMATIVE,,"Interop caveat about ancillary data transfer, not a constraint.","Supplies an optional non-reference-able name and short description for alarms. Also includes an optional ancillary data for any special local flags, note that these may not necessarily transfer to another recipient of an instance document."
8,BaseContainerType,407,must,NON_NORMATIVE,,Overview/rationale text; the actual rule is captured more specifically in #9.,"Describe a child/parent container inheritance relationship.  Describe constraints with RestrictionCriteria, conditions that must be true for this container to be an extension of the parent container.  A constraint can be used to convey the identifying features of the telemetry format such as the CCSDS application id or minor-frame id.  See RestrictionCriteriaType and SequenceContainerType."
9,BaseContainerType/RestrictionCriteria,412,must,NON_NORMATIVE,,"Describes runtime/decommutation evaluation semantics (is this container instance a valid extension), not static file structural validity.",Contains the conditions that must evaluate to true in order for this container to be an extension of the parent container.
10,ContainerSegmentRefEntryType,471,must,SEMANTIC,XTCE-1.2-R04-container-segments-no-overlap,Segments composing a container must not overlap in sequence — real structural constraint on segment definitions.,"An entry that is only a portion of a container indicating that the entire container must be assembled from other container segments.   It is assumed that container segments happen sequentially in time, that is the first part of a container is first, however (and there's always a however), if this is not the case the order of this container segment may be supplied with the order attribute where the first segment order=""0"".  Each instance of a container cannot overlap in the overall sequence with another instance"
11,IndirectParameterRefEntryType,537,must,NON_NORMATIVE,,"Describes runtime telemetry value/decode semantics, not file structure.","An entry whose name is given by the value of a ParamameterInstance.  This entry may be used to implement dwell telemetry streams.  The value of the parameter in ParameterInstance must use either the name of the Parameter or its alias.  If it's an alias name, the alias namespace is supplied as an attribute."
12,LocationInContainerInBitsType,550,should,SEMANTIC,XTCE-1.2-R08-location-in-container-flags,"Three distinct sub-rules bundled in one candidate: negative containerStart flagged, negative containerEnd flagged, nextEntry attribute usage flagged as deprecated. Recorded as one matrix row covering all three — see matrix Notes.","Describe the absolute or relative bit location of an entry in a container.  The ""referenceLocation"" attribute specifies the starting bit anchor.  If no referenceLocation value is given, the entry is assumed to begin at the first bit position after the previous entry.  Each container starts at bit 0, thus ""containerStart"" is an offset from 0.  Negative container start bits are before the container and are implementation dependent – these should be flagged as likely errors.  ""containerEnd"" is given as a positive offset from the end of the container, thus a container end of 0 is exactly at the end of the container.  Negative container end addresses are after the container and are implementation dependent – these should be flagged as likely errors.  Positive ""previouEntry"" values are offsets from the previous entry – zero (0) is the default which means it follows contiguously from the last occupied bit of the previous entry.  A value of one means it is offset 1-bit from the previous entry, and a value of negative 1 (-1) means it overlaps the previous entry by one bit, and so forth. The ""nextEntry"" attribute value is proposed for deprecation and should be avoided.  See SequenceEntryType."
13,ParameterSegmentRefEntryType,594,must,SEMANTIC,XTCE-1.2-R04-container-segments-no-overlap,Same rule as #10 (ParameterSegmentRefEntryType).,"An entry that is only a portion of a parameter value indicating that the entire parameter value must be assembled from other parameter segments.   It is assumed that parameter segments happen sequentially in time, that is the first part if a telemetry parameter first, however (and there's always a however), if this is not the case the order of this parameter segment may be supplied with the order attribute where the first segment order=""0""."
14,SequenceEntryType/RepeatEntry,647,"should not, should",NON_NORMATIVE,,"Interpretive clarification for spec readers (repeat != array), not a checkable constraint.","May be used when this entry repeats itself in the sequence container.  When an entry repeats, it effectively specifies that the same entry is reported more than once in the container and has the same physical meaning.  This should not be construed to be equivalent to arrays."
15,ArgumentSequenceEntryType/RepeatEntry,684,"should not, should",NON_NORMATIVE,,"Same clarification, ArgumentSequenceEntryType.","May be used when this entry repeats itself in the sequence container.  When an entry repeats, it effectively specifies that the same entry is reported more than once in the container and has the same physical meaning.  This should not be construed to be equivalent to arrays."
16,MessageType/ContainerRef,736,should,SEMANTIC,XTCE-1.2-R09-messagetype-containerref-must-be-root,ContainerRef should reference a root-level container specifically — referential + structural-position constraint.,The ContainerRef should point to ROOT container that will describe an entire packet/minor frame or chunk of telemetry.
17,RateInStreamType/minimumValue,768,should,NON_NORMATIVE,,"Descriptive definition of minimumValue, no constraint stated (e.g. min<=max not asserted here).",The minimum rate for the specified basis for which this container should appear in the stream.
18,RateInStreamType/maximumValue,773,should,NON_NORMATIVE,,Descriptive definition of maximumValue.,The maximum rate for the specified basis for which this container should appear in the stream.
19,RestrictionCriteriaType/NextContainer,817,must,SEMANTIC,XTCE-1.2-R10-nextcontainer-ref-must-resolve,"NextContainer reference must resolve to an existing Container — referential integrity, same category as the 68 unenforced *Ref types found via XSD analysis.",Reference to the named container that must follow this container in the stream sequence.
20,AbsoluteTimeParameterType,832,should,REDUNDANT,,"Blind re-triage label fix: initialValue is declared xs:dateTime, so ISO 8601 format is schema-enforced; REDUNDANT is more precise than NON_NORMATIVE. No validator impact.","Describe an absolute time parameter type relative to a known epoch (such as TAI).  The string representation of this time should use the [ISO 8601] extended format CCYY-MM-DDThh:mm:ss where ""CC"" represents the century, ""YY"" the year, ""MM"" the month and ""DD"" the day, preceded by an optional leading ""-"" sign to indicate a negative number. If the sign is omitted, ""+"" is assumed. The letter ""T"" is the date/time separator and ""hh"", ""mm"", ""ss"" represent hour, minute and second respectively. Additional digits can be used to increase the precision of fractional seconds if desired i.e. the format ss.ss... with any number of digits after the decimal point is supported.  See TAIType, IntegerDataEncoding and AbsoluteTimeDataType."
21,EnumeratedParameterType/DefaultAlarm,913,should,NON_NORMATIVE,,Descriptive definition + runtime alarm-evaluation semantics.,Describe labels for this parameter that should be in an alarm state.  The default definition applies when there are no context alarm definitions or all the context alarm definitions evaluate to false in their matching criteria.
22,EnumeratedParameterType/ContextAlarmList,918,should,NON_NORMATIVE,,Descriptive definition + runtime alarm-evaluation semantics.,Describe labels for this parameter that should be in an alarm state when another parameter and value combination evaluates to true using the described matching criteria.
23,FloatParameterType,939,should,NON_NORMATIVE,,"Guidance to spec authors on which data type to choose for a purpose, not a structural constraint.","Describe a floating point parameter type.  Several encodings are supported.  Calibrated integer to float relationships should be described with this data type. Use the data encoding to define calibrators.  Joins integer as one of the numerics. See FloatDataEncodingType, IntegerDataEncodingType and FloatDataType."
24,IntegerParameterType,960,should,NON_NORMATIVE,,"Same as #23, integer variant.",Describe an integer parameter type. Several are supported. Calibrated integer to integer relationships should be described with this data type. Use the integer data encoding to define calibrators. Joins float as one of the numerics. See IntegerDataEncoding and IntegerDataType.
25,ParameterInstanceRefType,998,required,NON_NORMATIVE,,"Describes semantic meaning of instance/count values (decode-time interpretation), not a constraint on allowed values.","A reference to an instance of a Parameter.   Used when the value of a parameter is required for a calculation or as an index value.  A positive value for instance is forward in time, a negative value for count is backward in time, a 0 value for count means use the current value of the parameter or the first value in a container."
26,ParameterPropertiesType/ValidityCondition,1019,must,NON_NORMATIVE,,"Runtime validity-checking semantics (is decoded value valid), not file structural validity.",Optional condition that must be true for this Parameter to be valid.
27,ParameterPropertiesType/readOnly,1040,should,SEMANTIC,XTCE-1.2-R23-constant-datasource-should-be-readonly,"Blind re-triage catch: ""For a constant data source, then readOnly should be true"" is a statically checkable cross-attribute consistency warning.","A Parameter marked as 'readOnly' true is non-settable by users and applications/services that do not represent the data source itself.  Note that a slight conceptual overlap exists here between the 'dataSource' attribute and this attribute when the data source is 'constant'.  For a constant data source, then 'readOnly' should be 'true'.  Application implementations may choose to implicitly enforce this.  Some implementations have both concepts of a Parameter that is settable or non-settable and a Constant in different parts of their internal data model."
28,ParameterPropertiesType/persistence,1045,should,NON_NORMATIVE,,"Describes runtime persistence behavior of the ground system, not file structure.",A Parameter marked to persist should retain the latest value through resets/restarts to the extent that is possible or defined in the implementation.  The net effect is that the initial/default value on a Parameter is only seen once or when the system has a reset to revert to initial/default values.
29,ParameterType/initialValue,1069,"must not, must",SEMANTIC,XTCE-1.2-R15-typed-value-valid-for-type,Value literal (typed generically as xs:string in the XSD) must be valid for and within range of its declared/referenced data type — not XSD-checkable since the attribute is untyped.,"Specify as: integer data type using xs:integer, float data type using xs:double, string data type using xs:string, boolean data type using xs:boolean, binary data type using xs:hexBinary, enum data type using label name, relative time data type using xs:duration, absolute time data type using xs:dateTime.  Values must not exceed the characteristics for the data type or this is a validation error. Takes precedence over an initial value given in the data type. Values are calibrated unless there is an option to override it."
30,PhysicalAddressSetType/PhysicalAddress,1146,required,NON_NORMATIVE,,Purely descriptive.,"Contains the address (e.g., channel information) required to process the spacecraft telemetry streams. May be an onboard  id, a mux address, or a physical location."
31,PhysicalAddressSetType/PhysicalAddress,1147,required,NON_NORMATIVE,,Purely descriptive (duplicate wording of #30).,Contains the address (channel information) required to process the spacecraft telemetry streams
32,AbsoluteTimeArgumentType,1274,should,REDUNDANT,,"Blind re-triage label fix: initialValue is declared xs:dateTime, so ISO 8601 format is schema-enforced; REDUNDANT is more precise than NON_NORMATIVE. No validator impact.","Describe an absolute time argument type relative to a known epoch (such as TAI).  The string representation of this time should use the [ISO 8601] extended format CCYY-MM-DDThh:mm:ss where ""CC"" represents the century, ""YY"" the year, ""MM"" the month and ""DD"" the day, preceded by an optional leading ""-"" sign to indicate a negative number. If the sign is omitted, ""+"" is assumed. The letter ""T"" is the date/time separator and ""hh"", ""mm"", ""ss"" represent hour, minute and second respectively. Additional digits can be used to increase the precision of fractional seconds if desired i.e. the format ss.ss... with any number of digits after the decimal point is supported.  See TAIType, IntegerDataEncoding and AbsoluteTimeDataType."
33,ArgumentAssignmentType/argumentValue,1327,must,SEMANTIC,XTCE-1.2-R15-typed-value-valid-for-type,Same rule as #29 (ArgumentComparisonType/value).,Specify value as a string compliant with the XML schema (xs) type specified for each XTCE type: integer=xs:integer; float=xs:double; string=xs:string; boolean=xs:boolean; binary=xs:hexBinary; enum=xs:string from EnumerationList; relative time=xs:duration; absolute time=xs:dateTime.  Supplied value must be within the ValidRange specified for the type.
34,ArgumentComparisonType/value,1354,"must not, must",SEMANTIC,XTCE-1.2-R15-typed-value-valid-for-type,Same rule as #29 (ArgumentComparisonCheckType/Value).,"Specify as: integer data type using xs:integer, float data type using xs:double, string data type using xs:string, boolean data type using xs:boolean, binary data type using xs:hexBinary, enum data type using label name, relative time data type using xs:duration, absolute time data type using xs:dateTime.  Values must not exceed the characteristics for the data type or this is a validation error. Takes precedence over an initial value given in the data type. Values are calibrated unless there is an option to override it."
35,ArgumentComparisonCheckType/Value,1397,"must not, must",SEMANTIC,XTCE-1.2-R15-typed-value-valid-for-type,"Blind re-triage consistency fix: identical value-vs-type language to candidates #34/#85, which were promoted to R15; this Argument-side site belongs in R15's citations (unreachable until command arguments are modeled).","Specify as: integer data type using xs:integer, float data type using xs:double, string data type using xs:string, boolean data type using xs:boolean, binary data type using xs:hexBinary, enum data type using label name, relative time data type using xs:duration, absolute time data type using xs:dateTime.  Values must not exceed the characteristics for the data type or this is a validation error. Takes precedence over an initial value given in the data type. Values are calibrated unless there is an option to override it."
36,ArgumentComparisonListType/Comparison,1412,must,NON_NORMATIVE,,Runtime AND-evaluation semantics.,List of Comparison elements must all be true for the comparison to evaluate to true.
37,ArgumentInputAlgorithmType/InputSet,1476,should,NON_NORMATIVE,,Descriptive definition of InputSet's purpose.,The InputSet describes the list of arguments and/or parameters that should be made available as input arguments to the algorithm.
